indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-ELE-001,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,16920.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,34532.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,18798.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,14791.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,33622.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,13465.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,16411.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,14008.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0731,HT0731,Aquin,Aken,Sud,47495.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,74691.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-1024,HT1024,Arnaud,Ano,Nippes,12839.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0723,HT0723,Arniquet,Anikè,Sud,11510.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0332,HT0332,Bahon,Baron,Nord,11190.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,7679.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0221,HT0221,Bainet,Benè,Sud-Est,39927.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-1031,HT1031,Baradères,Baradè,Nippes,17240.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,13748.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,18752.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,10522.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0632,HT0632,Belladère,Beladè,Centre,38629.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,32596.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,14331.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0813,HT0813,Bonbon,Trou Bonbon,Grande'Anse,8049.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0351,HT0351,Borgne,Bòn,Nord,22979.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,24202.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,47008.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0714,HT0714,Camp-Perrin,Kanperen,Sud,28315.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,169536.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0422,HT0422,Capotille,Kapotiy,Nord-Est,12166.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,4888.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0442,HT0442,Carice,karis,Nord-Est,9594.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0113,HT0113,Carrefour,Kafou,Ouest,296802.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0733,HT0733,Cavaillon,Kavayon,Sud,30231.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0213,HT0213,Cayes-Jacmel,Kay Jakmèl,Sud-Est,23414.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,13855.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0641,HT0641,Cerca La Source,Sèka Lasous,Centre,26054.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
IND-ELE-001,HTC-0815,HT0815,Chambellan,Chanbelan,Grande'Anse,13444.0,électeurs inscrits,2015,A,B,"CEP — Inscription des électeurs, avril 2015 (archive Internet Archive)",v1.2026.08
