"pays","code_iso3","annee","transferts_usd","transferts_millions_usd","part_pib_pct"
"Haiti","HTI","2000","578000000","578","8.48"
"Haiti","HTI","2001","623580000","623.6","9.85"
"Haiti","HTI","2002","675660000","675.7","10.89"
"Haiti","HTI","2003","811000000","811","15.99"
"Haiti","HTI","2004","931540000","931.5","15.30"
"Haiti","HTI","2005","986154000","986.2","14.03"
"Haiti","HTI","2006","1062869000","1062.9","13.91"
"Haiti","HTI","2007","1222089000","1222.1","13.24"
"Haiti","HTI","2008","1369753973","1369.8","13.13"
"Haiti","HTI","2009","1375546872","1375.5","11.86"
"Haiti","HTI","2010","1473804721","1473.8","12.43"
"Haiti","HTI","2011","1551366394","1551.4","11.93"
"Haiti","HTI","2012","1612326050","1612.3","11.76"
"Haiti","HTI","2013","1780995274","1781.0","11.95"
"Haiti","HTI","2014","1977033926","1977.0","13.05"
"Haiti","HTI","2015","2195560227","2195.6","14.79"
"Haiti","HTI","2016","2227109372","2227.1","15.83"
"Haiti","HTI","2017","2419165424","2419.2","16.03"
"Haiti","HTI","2018","2735177967","2735.2","16.67"
"Haiti","HTI","2019","2695149514","2695.1","17.95"
"Haiti","HTI","2020","3257277840","3257.3","22.45"
"Haiti","HTI","2021","3994393883","3994.4","19.07"
"Haiti","HTI","2022","3797752749","3797.8","18.75"
"Haiti","HTI","2023","3753251985","3753.3","18.91"
"Haiti","HTI","2024","4111002566","4111.0","16.30"
"Haiti","HTI","2025","","",""
